,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Keratinocyte,Macrophage,Malignancy A,Malignancy B,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
COMMD3,0.0397849462365591,0,0.0357102272727273,0.0264595592477212,0.0235384615384615,0.0241254289826193,0.125977386934673,0.123960178255156,0.0204724409448819,0.0564516129032258,0.00230125523012552,0.000189035916824197,0.0173963133640553,0.0208661417322835,0.00675675675675676,0.0516949152542373,0.00512618296529968,0.0292626728110599
COMMD9,0.0290322580645161,0.0231707317073171,0.0683806818181818,0.0509201569170416,0.0898632478632479,0.0733892394553305,0.409143216080402,0.456988801919671,0,0.0241935483870968,0.0173640167364017,0.013421550094518,0.0266129032258065,0.012992125984252,0,0.0686440677966102,0.0319400630914827,0.0200460829493088
COMP,0.00752688172043011,0,0.00474431818181818,0.0746884735202492,0.00815384615384616,0.0156011291929592,0.0120577889447236,0.0104082157344455,0.00866141732283464,0.0564516129032258,0,0.011531190926276,0.00241935483870968,0.012992125984252,0,0.0177966101694915,0.00197160883280757,0.00622119815668203
COMT,0.0182795698924731,0.0719512195121951,0.139403409090909,0.10359120803046,0.374649572649573,0.107597143806045,0.433213567839196,0.40608324287265,0.0362204724409449,0.0241935483870968,0,0.0228733459357278,0.0243087557603687,0.012992125984252,0,0.0347457627118644,0.0477129337539432,0.0407834101382488
COP1,0.0397849462365591,0.0231707317073171,0.0831534090909091,0.0510932271835699,0.0898632478632479,0.0472628141259825,0.244168341708543,0.299958578529395,0.0125984251968504,0.0241935483870968,0.0232217573221757,0.00964083175803403,0.0450460829493088,0.00511811023622047,0.00675675675675676,0.0855932203389831,0.0382492113564669,0.0315668202764977
COPB1,0.0182795698924731,0,0.0388352272727273,0.0515547478943117,0.0471282051282051,0.0260074172478689,0.0428618090452261,0.042374164428955,0.0559055118110236,0,0.00230125523012552,0.013421550094518,0.00357142857142857,0.028740157480315,0,0.0177966101694915,0.0177444794952681,0.0315668202764977
COPRS,0.0236559139784946,0.0231707317073171,0.0649715909090909,0.0618235837083189,0.0584102564102564,0.0525213107494742,0.187786432160804,0.216115808718505,0.0244094488188976,0.0564516129032258,0.0106694560669456,0.0398865784499055,0.020852534562212,0.0444881889763779,0.0427927927927928,0.0177966101694915,0.0287854889589905,0.0361751152073733
COPS2,0.0290322580645161,0,0.0345738636363636,0.0326323987538941,0.157213675213675,0.0245128971548766,0.420248743718593,0.341580014854596,0,0.0241935483870968,0,0,0.00702764976958525,0,0,0,0.0193217665615142,0.0154377880184332
COPS3,0.0397849462365591,0.0719512195121951,0.0436647727272727,0.0422666435906311,0.0782393162393163,0.0425578434628584,0.170399497487437,0.216172941781409,0.0244094488188976,0.0564516129032258,0.0106694560669456,0.0323251417769376,0.0243087557603687,0.0208661417322835,0.00675675675675676,0.0516949152542373,0.0445583596214511,0.0476958525345622
COPS4,0.0129032258064516,0.0231707317073171,0.0445170454545454,0.031997807776624,0.0471282051282051,0.0257306542676852,0.0919572864321608,0.111219505227675,0.0283464566929134,0,0.000627615062761506,0.0153119092627599,0.0150921658986175,0,0.0247747747747748,0.0686440677966102,0.0161671924290221,0.0154377880184332
COPS5,0.0344086021505376,0.0475609756097561,0.100198863636364,0.0639581169955002,0.126444444444444,0.0528534263256947,0.263816582914573,0.239483231446038,0.0440944881889764,0.0564516129032258,0.00481171548117155,0.0172022684310019,0.0277649769585253,0,0.0157657657657658,0.0516949152542373,0.0587539432176656,0.0707373271889401
COPS6,0.0236559139784946,0,0.0754829545454545,0.0545546325141341,0.0908888888888889,0.0480377504704971,0.524469849246231,0.646841969948009,0.0047244094488189,0.0241935483870968,0.0098326359832636,0.0153119092627599,0.0185483870967742,0,0.0247747747747748,0.0177966101694915,0.0335173501577287,0.0430875576036866
COPS7A,0.0021505376344086,0.0475609756097561,0.0192329545454545,0.02432502596054,0.0132820512820513,0.0157671869810694,0.0913040201005025,0.110791007255899,0.0204724409448819,0.0241935483870968,0.000627615062761506,0,0.00702764976958525,0,0,0,0.00354889589905363,0.0223502304147465
COPS7B,0.0451612903225806,0,0.0618465909090909,0.0375937463943695,0.10182905982906,0.0349191852097863,0.217434673366834,0.23185596754842,0.000787401574803148,0.0887096774193548,0.00146443514644351,0.0209829867674858,0.0254608294930876,0.028740157480315,0.0337837837837838,0.0177966101694915,0.0335173501577287,0.0269585253456221
COPS8,0.0344086021505376,0,0.168380681818182,0.131051690319603,0.0867863247863248,0.0650309974537806,0.225123115577889,0.307157344455236,0.0204724409448819,0,0,0.0455576559546314,0.0473502304147465,0.028740157480315,0.0337837837837838,0.0177966101694915,0.0682176656151419,0.0707373271889401
CORO1A,0.174193548387097,0.0475609756097561,0.0357102272727273,0.069034844813661,0.0283247863247863,0.193891841027344,0.0370829145728643,0.0393746786265212,0.0519685039370079,0.217741935483871,0.0299163179916318,0.168431001890359,0.0680875576036866,0.0523622047244094,0.0247747747747748,0.170338983050847,0.404179810725552,0.397926267281106
CORO1C,0.104301075268817,0.0719512195121951,0.114119318181818,0.100822083766009,0.180461538461538,0.0975229713273553,0.25085175879397,0.236026681140376,0.0519685039370079,0.0241935483870968,0.0115062761506276,0.013421550094518,0.0197004608294931,0.0208661417322835,0,0.0177966101694915,0.0272082018927445,0.0523041474654378
CORT,0.00752688172043011,0,0.0206534090909091,0.0169983846775124,0.0484957264957265,0.0103979851655043,0.0418065326633166,0.0476875392789807,0.0204724409448819,0,0.00397489539748954,0.011531190926276,0,0,0,0.000847457627118645,0.0082807570977918,0.00852534562211982
COTL1,0.701075268817204,0.828048780487805,0.704176136363636,0.431674743279105,0.200974358974359,1.06359182995682,0.218389447236181,0.541202936639433,0.177952755905512,0.798387096774194,0.0951882845188285,0.268620037807183,0.285829493087558,0.115354330708661,0.0157657657657658,0.526271186440678,1.06190851735016,0.57073732718894
COX1,5.57204301075269,2.29146341463415,6.08485795454545,3.99103784469828,13.0980683760684,5.69140097420569,10.6329623115578,19.7207721533451,1.61889763779528,0.701612903225806,0.373012552301255,2.67693761814745,4.15334101382488,2.55629921259843,0.862612612612613,3.25508474576271,4.86632492113565,4.26658986175115
COX10,0.0612903225806452,0,0.0394034090909091,0.0347092419522326,0.0488376068376068,0.0344210118454556,0.0971834170854271,0.112990630177684,0.0322834645669291,0.0241935483870968,0.00899581589958159,0.0228733459357278,0.00357142857142857,0,0.0157657657657658,0.000847457627118645,0.0303627760252366,0.0523041474654378
COX14,0.104301075268817,0.0231707317073171,0.108721590909091,0.0636119764624438,0.0905470085470085,0.0778727997343075,0.264670854271357,0.357234474090156,0.00866141732283464,0.0564516129032258,0.0182008368200837,0.0285444234404537,0.0392857142857143,0.0681102362204724,0.00675675675675676,0.0516949152542373,0.0461356466876972,0.0776497695852535
COX17,0.158064516129032,0.120731707317073,0.194232954545455,0.118359870774201,0.153794871794872,0.124756448577438,0.79336432160804,0.707660115408787,0.0519685039370079,0,0.0324267782426778,0.0550094517958412,0.0726958525345622,0.012992125984252,0.0337837837837838,0.0516949152542373,0.104495268138801,0.100691244239631
COX2,5.2494623655914,2.24268292682927,5.76553977272727,3.95653917157032,13.7804615384615,5.67025628251965,12.3634145728643,26.0824244415243,1.76850393700787,0.733870967741935,0.27092050209205,2.27429111531191,4.3676267281106,2.60354330708661,0.817567567567568,2.67881355932203,4.06821766561514,3.94400921658986
COX20,0.0559139784946237,0.120731707317073,0.131164772727273,0.104456559363101,0.106957264957265,0.144572677958596,1.7496959798995,2.27424870022282,0.0913385826771654,0.0241935483870968,0.0232217573221757,0.0758034026465028,0.0415898617511521,0.0208661417322835,0.0157657657657658,0.0516949152542373,0.0902996845425867,0.137557603686636
COX4I1,0.308602150537634,0.218292682926829,0.376335227272727,0.265296527056652,0.62148717948718,0.29269622495295,1.7532135678392,1.80618608238588,0.11496062992126,0.0564516129032258,0.0148535564853556,0.107939508506616,0.130299539170507,0.10748031496063,0.00675675675675676,0.102542372881356,0.252760252365931,0.225115207373272
COX4I2,0,0,0.0104261363636364,0.0102486442829122,0,0,0,0,0,0,0,0,0,0,0,0.000847457627118645,0,0
COX5A,0.0505376344086022,0.0475609756097561,0.0598579545454545,0.0401898003922926,0.0874700854700855,0.0609349053470608,0.670198492462312,0.74751042678398,0.0165354330708661,0,0.00230125523012552,0.0228733459357278,0.0173963133640553,0.012992125984252,0,0,0.0319400630914827,0.0223502304147465
COX5B,0.125806451612903,0,0.364119318181818,0.199529825775932,0.499777777777778,0.226826635669213,1.32647989949749,1.45870279380678,0.0716535433070866,0.0564516129032258,0.0248953974895397,0.0776937618147448,0.0796082949308756,0.0602362204724409,0,0.0686440677966102,0.17705047318612,0.1536866359447
COX6A1,0.104301075268817,0.145121951219512,0.288267045454545,0.193126225914388,0.847811965811966,0.203633897929813,0.995776381909548,1.13561532308747,0.107086614173228,0.0887096774193548,0.0232217573221757,0.0776937618147448,0.103801843317972,0.0444881889763779,0.00675675675675676,0.0516949152542373,0.134463722397476,0.18594470046083
COX6B1,0.125806451612903,0.0719512195121951,0.251619318181818,0.204779623860621,0.516529914529915,0.213818775600576,0.842861809045226,0.833895617894075,0.0913385826771654,0.0887096774193548,0.0190376569037657,0.0795841209829868,0.10610599078341,0.0917322834645669,0.0247747747747748,0.0855932203389831,0.19282334384858,0.116820276497696
