,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
IL17RE,0.104119513983283,0.0257558790593505,0.0199362041467305,0.0362971327572663,0.060844513243894,0.0179241840154703,0.125127835911869,0.0345350555876872,0.018039490083747,0.00117271789098414,0.0384949978251414,0.0725069754997516,0.0900763358778626,0.150062997656338,0.112266438453858,0.0676691729323308,0.165650969529086,0.0646162731932712,0.142543859649123,0.0928164104755672
IL18,0.0686061759965755,0.0470324748040314,0.216905901116427,0.0378829536527887,0.0461930971218897,0.200916134282466,0.107562158933787,0.0149990360516676,0.116502306868126,0.0225630922225349,0.0137016093953893,0.0365592630814509,0.0305343511450382,0.0771322224812199,0.0756810726001997,0.139097744360902,0.00775623268698061,0.0220922677063028,0.00365497076023392,0.0386423429800077
IL18R1,0,0.0789473684210526,0.00478468899521532,0.0328456402199529,0.0132954936360509,0.0317920408736834,0.0682336963191439,0.0281858492384808,0.0400586010102114,0.232901773149451,0.121139625924315,0.0191300691816688,0,0,0,0,0.134072022160665,0.094794599667894,0.211988304093567,0
IL1A,0.0422336835077284,0.110862262038074,0.0881180223285487,0.0339650432050275,0.0269120513702557,0.0514780215862043,0.0553314734060396,0.0264764475290791,0.0521067937812958,0.0421709353597899,0.0715528490648108,0.0783167067996789,0.0534351145038168,0.0676513048015104,0.0396377121665954,0.0795739348370927,0.0393351800554017,0.038553173056097,0.0869883040935673,0.0679496253956383
IL1B,0.0392535008122108,0.0470324748040314,0.262360446570973,0.0569128043990573,0.0534915720674235,0.313612396337141,0.0903073788933705,0.0677462887989204,0.228259681193012,0.110798386340182,0.0508916920400174,0.0347437220502236,0.0244274809160305,0.0617766257484388,0.0781200969904436,0.0081453634085213,0.0393351800554017,0.048155367843477,0,0.0364855299883813
IL1R1,0.372845804535922,0.334266517357223,0.156299840510367,0.642547132757266,0.719286779039101,0.382792279974664,0.180933836222766,1.12147034252297,0.304287932127785,0.429871470119148,0.195519791213571,0.416370446814203,0.283969465648855,0.580667832010332,0.121209527884753,0.103383458646617,0.323545706371191,0.269005847953216,0.156432748538012,0.223113289440297
IL1R2,0.0195757975558605,0.121500559910414,0.307814992025518,0.0640956402199529,0.0540907006077285,0.35696937410075,0.0469372560890802,0.0220808431334747,1.36120525659808,1.78013884979829,0.145933014354067,0.00823682299430494,0.00305343511450382,0.0291210547745051,0.0163314791042647,0.0676691729323308,0.0919667590027701,0.0316944624936828,0.142543859649123,0.00793947568744241
IL1RAP,0.0940864345623246,0.0789473684210526,0.0805422647527911,0.082192655145326,0.0754414631349616,0.186968577097482,0.0791150891374246,0.0594434804961121,0.243216058426082,0.317572004878506,0.0880817746846455,0.0743225165309789,0.0625954198473282,0.100838671333289,0.0567108828983027,0.0557644110275689,0.102493074792244,0.0618727889683055,0.0869883040935673,0.0684571108054328
IL1RL1,0,0.0470324748040314,0.0199362041467305,0.0382560879811469,0.0756048618277721,0.0319514415272261,0.275912850679473,0.331726752779384,0.0375658714713664,0.039497138568346,0.00956937799043062,0.0140465542942323,0.0152671755725191,0.00179174868461505,0,0,0.060387811634349,0.00837484658147426,0,0.0111112594986578
IL1RN,0.0521575097952462,0.0576707726763718,0.0956937799043062,0.0464650432050275,0.0655830753353973,0.137873175806337,0.114246443093588,0.0396632607158923,0.122734130715238,0.126841167088845,0.0632883862548934,0.0953827924932156,0.0717557251908397,0.0734262721874859,0.0813721295107688,0.12719298245614,0.0498614958448753,0.0618727889683055,0.0453216374269006,0.107914101416953
