,Acinar A,Acinar B,Active stellate,Alpha cells,Beta cells,Delta cells,Ductal,Epsilon cells,Gamma cells,Macrophage,Quiescent stellate
CHIT1,0,0.000470061555679911,0,0,0.00325581395348837,0.00392523364485981,0,0,0,0,0
CHKA,0.0161391052821878,0.0186569669837717,0.0049874686716792,0.0207692307692308,0.00422480620155039,0.0226168224299065,0.015141535111595,0,0.0378378378378378,0.00575596816976127,0.017139681363468
CHKB,0.0149886598954738,0.0180973698936766,0.0074937343358396,0.0248178137651822,0.0284496124031008,0.0319626168224299,0.0192242787152967,0.235,0.0648648648648649,0.0375862068965517,0.0238088180807707
CHL1,0.013608125431417,0.0130609960828204,0.0363157894736842,0.0349392712550607,0.0323255813953488,0.00392523364485981,0.0197686445291236,0,0,0.0269761273209549,0.0241793256761764
CHM,0.00466752128323965,0.000470061555679911,0.0112531328320802,0.0430364372469636,0.0206976744186047,0.0226168224299065,0.0080647795318454,0,0.0378378378378378,0.00840848806366048,0.00935902185994813
CHMP1A,0.032409690037143,0.0382428651371013,0.0363157894736842,0.0491093117408907,0.0284496124031008,0.0693457943925234,0.0420876428960261,1.235,0.0648648648648649,0.0362599469496021,0.0360355687291589
CHMP2A,0.0627157085100089,0.0698601007274762,0.060125313283208,0.0551821862348178,0.0342635658914729,0.00392523364485981,0.0559689711486119,0,0.0108108108108108,0.066763925729443,0.0741978510559466
CHMP3,0.0686980245209217,0.0723782876329043,0.0463408521303258,0.0855465587044534,0.0865891472868217,0.0786915887850467,0.0864534567229178,0.485,0.145945945945946,0.073395225464191,0.0704927751018896
CHMP4A,0.0189659139466851,0.0374034695019586,0.0300501253132832,0.0389878542510121,0.0206976744186047,0.0413084112149533,0.032833424060969,0,0,0.0641114058355438,0.0260318636532049
CHMP4B,0.0762252243368504,0.0894459988808058,0.0739097744360902,0.109838056680162,0.0885271317829457,0.06,0.109180729450191,0,0.0378378378378378,0.138381962864721,0.0960577991848833
CHMP4C,0.0379318278933701,0.0424398433128148,0.0137593984962406,0.0187449392712551,0.0110077519379845,0,0.031336418072945,0,0,0.0123872679045093,0.0182512041496851
CHMP5,0.0444400617953522,0.058388360380526,0.0275438596491228,0.0551821862348178,0.041046511627907,0.0413084112149533,0.0630457267283615,0,0,0.0680901856763926,0.0604890700259355
CHMP6,0.0190973934194524,0.0292893116955792,0.0137593984962406,0.0106477732793522,0.043953488372093,0,0.0301115949918345,0.485,0.0108108108108108,0.0322811671087533,0.0175101889588737
CHMP7,0.0302402787364823,0.0368438724118635,0.0513533834586466,0.0511336032388664,0.0303875968992248,0.0319626168224299,0.0346026129559064,0,0.0378378378378378,0.0216710875331565,0.0256613560577992
CHN1,0.00568648719718634,0.00634583100167879,0.003734335839599,0.0187449392712551,0.0371705426356589,0.0226168224299065,0.0116031573217202,0,0.0108108108108108,0.00575596816976127,0.00639496109670248
CHN2,0.00670545311113303,0.00858421936205932,0.016265664160401,0,0,0,0.0033015786608601,0,0,0.00442970822281167,0.00454242311967395
CHODL,0,0,0,0,0,0,0,0,0,0.00177718832891247,0
CHORDC1,0.0220228116885251,0.0231337437045327,0.0375689223057644,0.0531578947368421,0.0245736434108527,0.0786915887850467,0.0295672291780076,0,0.0378378378378378,0.0415649867374005,0.0234383104853649
CHP1,0.0345791013378036,0.0309681029658646,0.0175187969924812,0.0045748987854251,0.0110077519379845,0,0.00738432226456179,0,0.0108108108108108,0.0256498673740053,0.0138051130048166
CHP2,0.00387864444663577,0.00354784555120313,0.0087468671679198,0.00862348178137652,0,0.0319626168224299,0.00139629831246598,0,0.0108108108108108,0,0.00639496109670248
CHPF,0.0796436906288006,0.12917739227756,0.022531328320802,0.0895951417004049,0.105,0.0226168224299065,0.0488922155688623,0.235,0,0.0389124668435013,0.0341830307521304
CHPF2,0.0242579627255695,0.0340458869613878,0.053859649122807,0.0349392712550607,0.0458914728682171,0.0319626168224299,0.0399101796407186,0.235,0.0378378378378378,0.0468700265251989,0.0215857725083364
CHPT1,0.012852118463005,0.0108226077224398,0.0262907268170426,0.0268421052631579,0.0197286821705426,0.0319626168224299,0.0205851932498639,0,0.0108108108108108,0.0203448275862069,0.00861800666913672
CHRAC1,0.011307234657989,0.0105428091773923,0.0087468671679198,0.0248178137651822,0.0139147286821705,0,0.0125557974959173,0,0,0,0.00639496109670248
CHRD,0.0344804917332281,0.0922439843312815,0.0613784461152882,0.0227935222672065,0.0110077519379845,0,0.0165024496461622,0,0.0378378378378378,0.0150397877984085,0.0412226750648388
CHRDL1,0.0032212470827992,0.000749860100727476,0.0187719298245614,0.0045748987854251,0.0148837209302326,0,0.00928960261295591,0,0.0108108108108108,0.00442970822281167,0.0126935902185995
CHRDL2,0.00913782335732834,0.0200559597090095,0.0250375939849624,0.0045748987854251,0.0100387596899225,0.00392523364485981,0.0140528034839412,0,0,0.00575596816976127,0.010841052241571
CHRFAM7A,0.00624527495644743,0.00662562954672636,0.01,0.0187449392712551,0.00131782945736434,0.0226168224299065,0.0103783342406097,0,0.0108108108108108,0.0176923076923077,0.00861800666913672
CHRM1,0.00828320678434079,0.0169781757134863,0.0049874686716792,0.0126720647773279,0.0110077519379845,0,0.0128279804028307,0,0.0378378378378378,0.00708222811671087,0.0078769914783253
CHRM2,0.0112743647897972,0.00998321208729715,0.0049874686716792,0.00862348178137652,0.0255426356589147,0,0.017591181273816,0.235,0,0.0176923076923077,0.014546128195628
CHRM3,0.013410906222266,0.0175377728035814,0.0024812030075188,0.0167206477732793,0.00616279069767442,0,0.00112411540555253,0,0,0.00575596816976127,0
CHRM4,0.003451336160142,0.0111024062674874,0,0.0268421052631579,0,0.0506542056074766,0.00711213935764834,0,0.0378378378378378,0.0150397877984085,0.00861800666913672
CHRM5,0.00502908983334977,0.0055064353665361,0.0112531328320802,0.00255060728744939,0.00906976744186046,0.0226168224299065,0.00738432226456179,0,0,0.00708222811671087,0.0156576509818451
CHRNA1,0,0.00130945719082261,0,0.0106477732793522,0.0139147286821705,0,0,0,0,0.00442970822281167,0.00343090033345684
CHRNA10,0.00216941130066069,0.00186905428091774,0,0.00862348178137652,0.00713178294573643,0,0.00017147523135547,0,0,0.00575596816976127,0
CHRNA2,0,0,0,0,0.0051937984496124,0.00392523364485981,0,0,0,0,0
CHRNA3,0,0.000749860100727476,0,0.0167206477732793,0.0148837209302326,0,0.00180457267283615,0,0,0.00575596816976127,0.00268988514264542
CHRNA4,0.00742859021135325,0.030688304420817,0,0.000526315789473684,0,0.00392523364485981,0,0,0.0378378378378378,0.000450928381962864,0.00454242311967395
CHRNA6,0,0,0,0.000526315789473684,0,0,0.00057974959172564,0,0,0,0
CHRNA7,0.0165664135686816,0.0225741466144376,0,0.0126720647773279,0.0245736434108527,0.00392523364485981,0.0212656505171475,0,0.0648648648648649,0.0203448275862069,9.63319748054827e-05
CHRNA9,0.00157775367320777,0.00326804700615557,0,0.0106477732793522,0.00906976744186046,0.0132710280373832,0,0,0.0648648648648649,0.000450928381962864,0
CHRNB1,0.00233376064161983,0.00718522663682149,0.0175187969924812,0.000526315789473684,0.0129457364341085,0,0.00928960261295591,0,0.0108108108108108,0,0
CHRNB2,0,0,0.0012280701754386,0.00862348178137652,0.0110077519379845,0,0.00248502994011976,0.235,0,0,0.00231937754723972
CHRNB3,0.00631101469283108,0.00886401790710688,0,0,0,0.0132710280373832,0.00357376156777354,0.235,0.0378378378378378,0.000450928381962864,0.00343090033345684
CHRNB4,0.00680406271570851,0.00998321208729715,0.0049874686716792,0.0126720647773279,0.0187596899224806,0,0.0178633641807295,0,0,0.0137135278514589,0.0112115598369767
CHRND,0,0.00242865137101287,0,0.000526315789473684,0.0100387596899225,0,0.00275721284703321,0,0,0.000450928381962864,0.00528343831048537
CHRNE,0.00575222693357,0.0125013989927252,0.01,0.0146963562753036,0.0100387596899225,0.0319626168224299,0.00915351115949918,0,0.0648648648648649,0.00973474801061008,0.0101000370507595
CHRNG,0.00476613088781514,0.0108226077224398,0.0012280701754386,0.00862348178137652,0.0051937984496124,0.00392523364485981,0.0192242787152967,0,0,0.00310344827586207,0.0075064838829196
CHST1,0.00519343917430891,0.00858421936205932,0.0363157894736842,0.11995951417004,0.242596899224806,0.153457943925234,0.00901741970604246,0,0.0108108108108108,0.0123872679045093,0.0264023712486106
CHST12,0.0118002826808664,0.0102630106323447,0.0338095238095238,0.000526315789473684,0.0119767441860465,0.0132710280373832,0.0114670658682635,0,0,0.0110610079575597,0.020844757317525
CHST13,0.0112743647897972,0.0166983771684387,0.0024812030075188,0.0308906882591093,0.0294186046511628,0.0319626168224299,0.0182716385410996,0,0,0.0163660477453581,0.00417191552426825
CHST14,0.000164349340959144,0.00634583100167879,0.0062406015037594,0.0248178137651822,0.00325581395348837,0,0.00860914534567229,0,0.0108108108108108,0,0.00157836235642831
CHST15,0.0032212470827992,0,0.016265664160401,0.00862348178137652,0,0,0.0261649428415896,0,0,0.0296286472148541,0.0123230826231938
CHST2,0.00640962429740657,0.00802462227196418,0.0237844611528822,0.0268421052631579,0.0158527131782946,0.0132710280373832,0.00847305389221557,0,0,0.0322811671087533,0.0178806965542794
CHST3,0.00660684350655754,0.00942361499720201,0.0150125313283208,0.00862348178137652,0.0158527131782946,0,0.0208573761567774,0,0.0108108108108108,0.00575596816976127,0.00861800666913672
CHST4,0.00874338493902639,0.00634583100167879,0.0049874686716792,0.0126720647773279,0.0158527131782946,0,0.0933941208492107,0,0,0.00575596816976127,0.0178806965542794
CHST5,0.0098938303257404,0.0127811975377728,0.01,0.0167206477732793,0.0332945736434109,0.00392523364485981,0.0205851932498639,0,0.0378378378378378,0.0203448275862069,0.00972952945535383
CHST6,0.00627814482463925,0.00606603245663123,0.0125062656641604,0,0.0216666666666667,0,0.00466249319542733,0,0.0378378378378378,0.00575596816976127,0.00602445350129678
CHST7,0.0071327613976268,0.00634583100167879,0.0087468671679198,0.0288663967611336,0.0187596899224806,0.0132710280373832,0.00997005988023952,0,0,0.0176923076923077,0.0149166357910337
CHST8,0.0094336521710548,0.0169781757134863,0.0074937343358396,0.0268421052631579,0.0158527131782946,0.0226168224299065,0.0109227000544366,0,0.0918918918918919,0.00177718832891247,0.00417191552426825
CHST9,0.000920356309371199,0.00158925573587017,0,0.00862348178137652,0.0110077519379845,0,0.0110587915078933,0,0.0378378378378378,0.00442970822281167,9.63319748054827e-05
CHSY1,0.00397725405121126,0.00858421936205932,0.0175187969924812,0.0167206477732793,0.0148837209302326,0.0226168224299065,0.00860914534567229,0,0,0.00840848806366048,0.0178806965542794
CHSY3,0.00108470565033034,0.00494683827644096,0.028796992481203,0.0167206477732793,0,0,0.000988023952095808,0,0.0108108108108108,0,0.0123230826231938
CHTF18,0.0102553988758505,0.0130609960828204,0.0062406015037594,0.0349392712550607,0.0206976744186047,0,0.01908818726184,0,0,0.0389124668435013,0.0163986661726565
CHTOP,0.02606580547612,0.0290095131505316,0.022531328320802,0.032914979757085,0.0197286821705426,0.0413084112149533,0.0367800762112139,0,0,0.0296286472148541,0.0297369396072619
CHUK,0.0150872695000493,0.0125013989927252,0.0024812030075188,0.0146963562753036,0.00713178294573643,0,0.0098339684267828,0,0.0648648648648649,0.000450928381962864,0.00824749907373101
CHURC1,0.0181112973736975,0.0200559597090095,0.0212781954887218,0.0126720647773279,0.0274806201550388,0.0319626168224299,0.0230348394120849,0,0.0108108108108108,0.0229973474801061,0.00898851426454242
CIAO1,0.0597902902409361,0.028729714605484,0.0313032581453634,0.0207692307692308,0.0206976744186047,0.0132710280373832,0.0320168753402286,0,0.0648648648648649,0.0269761273209549,0.033442015561319
CIAO2A,0.0387535745981659,0.0483156127588137,0.0125062656641604,0.0207692307692308,0.0197286821705426,0.00392523364485981,0.0287506804572673,0,0.0108108108108108,0.0296286472148541,0.017139681363468
CIAO2B,0.0330342175327877,0.0351650811415781,0.0363157894736842,0.0410121457489879,0.042984496124031,0.0413084112149533,0.0329695155144257,0,0,0.0442175066312997,0.0345535383475361
CIAO3,0.0165006738322979,0.026211527700056,0.0074937343358396,0.0227935222672065,0.0206976744186047,0.0319626168224299,0.0219461077844311,0,0,0.00973474801061008,0.017139681363468
CIAPIN1,0.014955790027282,0.0217347509792949,0.0237844611528822,0.0288663967611336,0.0158527131782946,0.0226168224299065,0.0201769188894937,0,0.0648648648648649,0.0243236074270557,0.0130640978140052
CIART,0.00844755612529994,0.0150195858981533,0.0062406015037594,0.0126720647773279,0.00713178294573643,0.0506542056074766,0.0133723462166576,0,0.0108108108108108,0.00575596816976127,0.017139681363468
CIB1,0.0327055188508694,0.0332064913262451,0.0250375939849624,0.0146963562753036,0.0168217054263566,0,0.0381409907457812,0.485,0.0378378378378378,0.0229973474801061,0.0345535383475361
CIB2,0.0052920487788844,0.00606603245663123,0.0062406015037594,0.00659919028340081,0.00713178294573643,0,0.00724823081110506,0,0,0.00973474801061008,0.0141756206002223
CIB3,0.00256384971896263,0.00690542809177392,0.0024812030075188,0.000526315789473684,0.0051937984496124,0,0.00915351115949918,0,0.0918918918918919,0.00442970822281167,0.00639496109670248
CIB4,0.00470039115143148,0.0108226077224398,0.0024812030075188,0.000526315789473684,0.0110077519379845,0,0.00602340772999456,0,0,0.00708222811671087,0.0012078547610226
CIBAR1,0.0115373237353318,0.0127811975377728,0.0237844611528822,0.0308906882591093,0.0294186046511628,0,0.0154137180185084,0,0.0648648648648649,0.0123872679045093,0.0175101889588737
CIBAR2,0,0,0.0024812030075188,0,0,0,0.00166848121937942,0,0.0108108108108108,0.000450928381962864,0
CIC,0.0200177497288236,0.0323670956911024,0.0150125313283208,0.047085020242915,0.0478294573643411,0.00392523364485981,0.0356913445835602,0,0.0918918918918919,0.0389124668435013,0.0330715079659133
CIDEA,0.0006902672320284,0.00494683827644096,0.0012280701754386,0.0227935222672065,0.0100387596899225,0.00392523364485981,0.00575122482308111,0,0,0.00840848806366048,0.000837347165616896
